age_group,year,sex,edu_H,edu_M,edu_L
27,2039,M,0.33930613776241086,0.538355192989751,0.12233866924783816
32,2039,M,0.3523502492197538,0.5155589261350898,0.13209082464515648
37,2039,M,0.3258905337777298,0.5314315904991017,0.14267787572316853
42,2039,M,0.2885529664504646,0.5564918344163159,0.1549551991332194
47,2039,M,0.2573650551759483,0.5701172430157789,0.1725177018082728
52,2039,M,0.23201606077600065,0.5672375452949919,0.20074639392900748
57,2039,M,0.2118975316006367,0.5491420056005193,0.23896046279884403
62,2039,M,0.1939585310367805,0.518018130843979,0.2880233381192404
67,2039,M,0.17957215509692115,0.4728072225716146,0.34762062233146424
72,2039,M,0.17957215509692115,0.4728072225716146,0.34762062233146424
77,2039,M,0.17957215509692115,0.4728072225716146,0.34762062233146424
82,2039,M,0.17957215509692115,0.4728072225716146,0.34762062233146424
87,2039,M,0.17957215509692115,0.4728072225716146,0.34762062233146424
17,2040,F,0.014399629187027734,0.18150482296607903,0.8040955478468932
22,2040,F,0.14728105824366525,0.7058837009489642,0.14683524080737057
27,2040,F,0.38835223821790876,0.4832402155031315,0.12840754627895967
32,2040,F,0.4071126059317006,0.4563302041914779,0.13655718987682144
37,2040,F,0.3849245886550876,0.4683845964489814,0.14669081489593103
42,2040,F,0.35085666082720146,0.49015891012622176,0.15898442904657673
47,2040,F,0.3225199133060493,0.5011181409838402,0.17636194571011038
52,2040,F,0.2998128828152256,0.4962691532122784,0.20391796397249595
57,2040,F,0.2801948332217872,0.478410786724241,0.24139438005397193
62,2040,F,0.2612152179828068,0.4493787887233584,0.28940599329383476
67,2040,F,0.24238022645749485,0.4092123664829998,0.34840740705950535
72,2040,F,0.24238022645749485,0.4092123664829998,0.34840740705950535
77,2040,F,0.24238022645749485,0.4092123664829998,0.34840740705950535
82,2040,F,0.24238022645749485,0.4092123664829998,0.34840740705950535
87,2040,F,0.24238022645749485,0.4092123664829998,0.34840740705950535
17,2040,M,0.0134546464714115,0.206383548557528,0.7801618049710605
22,2040,M,0.12516660636082863,0.7428670274178609,0.1319663662213104
27,2040,M,0.3416794520214006,0.536471484040549,0.12184906393805052
32,2040,M,0.3552694595896424,0.5132988865328978,0.13143165387745992
37,2040,M,0.329034740518069,0.5290291191745135,0.1419361403074174
42,2040,M,0.2916008440369014,0.5541929810922437,0.1542061748708549
47,2040,M,0.26032074600979876,0.5679450349781687,0.1717342190120324
52,2040,M,0.23554206700121658,0.5647714844868892,0.1996864485118941
57,2040,M,0.21544262141558956,0.5468379475865323,0.23771943099787818
62,2040,M,0.1979538666497205,0.5156717403922928,0.2863743929579868
67,2040,M,0.1837403009926427,0.47066911641370024,0.34559058259365705
72,2040,M,0.1837403009926427,0.47066911641370024,0.34559058259365705
77,2040,M,0.1837403009926427,0.47066911641370024,0.34559058259365705
82,2040,M,0.1837403009926427,0.47066911641370024,0.34559058259365705
87,2040,M,0.1837403009926427,0.47066911641370024,0.34559058259365705
17,2041,F,0.014506145345553808,0.18153656370904808,0.803957290945398
22,2041,F,0.14816987410012944,0.7051889102255561,0.14664121567431454
27,2041,F,0.39018188530743103,0.4818318212655319,0.12798629342703693
32,2041,F,0.40915188100685795,0.4548027766822729,0.13604534231086915
37,2041,F,0.38738316874912543,0.4665673545734613,0.14604947667741322
42,2041,F,0.3534992069126515,0.4882295230063498,0.1582712700809987
47,2041,F,0.3250985279765325,0.49928363987042873,0.17561783215303883
52,2041,F,0.3023359684765047,0.49456294380199617,0.2031010877214992
57,2041,F,0.2830222082475252,0.4766375367370252,0.2403402550154496
