age_group,year,sex,edu,l_active,l_not_active
62,2065,M,M,0.4754030268690355,0.5245969731309645
67,2065,M,M,0.2082894736948332,0.7917105263051668
72,2065,M,M,0.15495723551247942,0.8450427644875206
77,2065,M,M,0.01,0.99
82,2065,M,M,0.01,0.99
87,2065,M,M,0.01,0.99
17,2066,F,H,0.6966274785544652,0.30337252144553484
22,2066,F,H,0.6966274785544652,0.30337252144553484
27,2066,F,H,0.8347798731015944,0.1652201268984056
32,2066,F,H,0.8652961325703136,0.13470386742968643
37,2066,F,H,0.8765558459917535,0.12344415400824649
42,2066,F,H,0.880514546000948,0.11948545399905197
47,2066,F,H,0.8714885083303502,0.1285114916696498
52,2066,F,H,0.8361337349773801,0.16386626502261992
57,2066,F,H,0.730282571298898,0.26971742870110205
62,2066,F,H,0.4433627492944465,0.5566372507055535
67,2066,F,H,0.18780669906123607,0.812193300938764
72,2066,F,H,0.13879958723614186,0.8612004127638582
77,2066,F,H,0.01,0.99
82,2066,F,H,0.01,0.99
87,2066,F,H,0.01,0.99
17,2066,F,L,0.16051886442223745,0.8394811355777625
22,2066,F,L,0.41658356478522685,0.5834164352147732
27,2066,F,L,0.6110637676900375,0.38893623230996255
32,2066,F,L,0.6663871330311226,0.3336128669688774
37,2066,F,L,0.688283800462762,0.31171619953723795
42,2066,F,L,0.6961875129131176,0.30381248708688235
47,2066,F,L,0.6783241453238288,0.3216758546761712
52,2066,F,L,0.6134018464856846,0.38659815351431537
57,2066,F,L,0.4570940906266979,0.5429059093733021
62,2066,F,L,0.19851064715643085,0.8014893528435691
67,2066,F,L,0.06708030817849392,0.9329196918215061
72,2066,F,L,0.04772494807624071,0.9522750519237593
77,2066,F,L,0.01,0.99
82,2066,F,L,0.01,0.99
87,2066,F,L,0.01,0.99
17,2066,F,M,0.2566696748870395,0.7433303251129605
22,2066,F,M,0.5632119116071841,0.4367880883928159
27,2066,F,M,0.7393914227857067,0.2606085772142933
32,2066,F,M,0.7829449696352716,0.2170550303647284
37,2066,F,M,0.7994932293144809,0.20050677068551914
42,2066,F,M,0.8053745174397257,0.19462548256027434
47,2066,F,M,0.7920131007954259,0.20798689920457414
52,2066,F,M,0.7412846789992349,0.2587153210007651
57,2066,F,M,0.6032379942776732,0.3967620057223268
62,2066,F,M,0.3090409005371444,0.6909590994628556
67,2066,F,M,0.11492357663208753,0.8850764233679125
72,2066,F,M,0.08299156613313297,0.917008433866867
77,2066,F,M,0.01,0.99
82,2066,F,M,0.01,0.99
87,2066,F,M,0.01,0.99
17,2066,M,H,0.8237005929934856,0.17629940700651436
22,2066,M,H,0.8237005929934856,0.17629940700651436
27,2066,M,H,0.9113493911544913,0.08865060884550868
32,2066,M,H,0.9289272928187013,0.07107270718129866
37,2066,M,H,0.9352660734279137,0.06473392657208632
42,2066,M,H,0.9374763050087186,0.06252369499128141
47,2066,M,H,0.9324229706034334,0.06757702939656662
